Time,Currency,Impact,Event,Actual,Forecast,Previous
12:01am,GBP,Low Impact Expected,RICS House Price Balance,2%,8%,11%
12:50am,JPY,Low Impact Expected,Bank Lending y/y,2.8%,3.1%,3.0%
,JPY,Low Impact Expected,PPI y/y,4.2%,3.9%,4.1%
2:00am,AUD,Low Impact Expected,MI Inflation Expectations,4.2%,,3.6%
2:30am,CNY,Medium Impact Expected,CPI y/y,-0.1%,0.0%,-0.7%
,CNY,Medium Impact Expected,PPI y/y,-2.5%,-2.3%,-2.2%
9:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,-0.9%,-0.9%,2.5%
9:44am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,3.35|1.9,,3.38|1.5
11:00am,AUD,High Impact Expected,RBA Gov Bullock Speaks,,,
1:30pm,CAD,Low Impact Expected,Building Permits m/m,2.9%,-0.4%,-4.3%
,USD,High Impact Expected,Core CPI m/m,0.1%,0.3%,0.2%
,USD,High Impact Expected,CPI m/m,-0.1%,0.1%,0.2%
,USD,High Impact Expected,CPI y/y,2.4%,2.5%,2.8%
,USD,High Impact Expected,Unemployment Claims,223K,223K,219K
2:00pm,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,
2:30pm,USD,Low Impact Expected,FOMC Member Logan Speaks,,,
3:00pm,USD,Low Impact Expected,FOMC Member Bowman Speaks,,,
,USD,Low Impact Expected,FOMC Member Schmid Speaks,,,
3:30pm,USD,Low Impact Expected,Natural Gas Storage,57B,60B,29B
5:00pm,CHF,Low Impact Expected,Gov Board Member Tschudin Speaks,,,
,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,
,USD,Low Impact Expected,FOMC Member Harker Speaks,,,
6:01pm,USD,Medium Impact Expected,30-y Bond Auction,,,4.62|2.4
7:00pm,USD,Low Impact Expected,Federal Budget Balance,,-115.9B,-307.0B
11:30pm,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,,,53.9
