2024-08-27 01:06:15,389 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:06:15,420 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:06:15,451 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:06:15,467 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:06:15,498 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:06:15,545 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:06:15,576 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:06:15,639 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:06:15,686 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:06:15,812 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:06:15,812 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:06:15,879 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:06:16,079 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:06:16,362 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:06:16,362 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:06:16,445 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:06:16,495 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:14:15,885 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:14:15,917 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:14:15,949 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:14:15,966 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:14:16,015 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:14:16,064 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:14:16,118 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:14:16,166 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:14:16,232 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:14:16,385 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:14:16,385 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:14:16,448 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:14:16,664 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:14:16,984 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:14:17,003 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:14:17,082 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:14:17,150 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:18:00,865 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:18:00,898 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:18:00,948 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:18:00,964 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:18:01,012 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:18:01,048 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:18:01,096 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:18:01,169 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:18:01,231 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:18:01,397 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:18:01,397 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:18:01,463 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:18:01,712 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:18:02,064 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:18:02,083 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:18:02,163 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:18:02,228 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:25:43,900 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:25:43,949 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
